Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
337,Markus Howard\howarma02,SG,22,DEN,29,0,5.1,1.1,2.8,.378,0.9,2.1,.433,0.2,0.8,.227,.537,0.4,0.5,.867,0.0,0.3,0.3,0.2,0.3,0.0,0.2,0.4,3.5
338,Kevin Huerter\huertke01,SG,23,ATL,64,50,29.4,4.5,10.1,.450,2.0,5.3,.374,2.5,4.8,.534,.548,0.5,0.7,.795,0.5,3.0,3.4,2.7,0.7,0.4,1.3,2.5,11.6
339,Jay Huff\huffja01,C,23,LAL,4,0,5.0,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.8,1.0,0.3,0.3,0.3,0.3,0.3,0.0
340,Elijah Hughes\hugheel01,SF-SG,23,TOT,27,3,10.0,1.1,3.4,.326,0.7,2.4,.277,0.4,1.0,.444,.424,0.1,0.2,.800,0.2,1.3,1.5,0.5,0.3,0.1,0.5,0.9,3.0
341,Elijah Hughes\hugheel01,SF,23,UTA,14,1,8.0,1.1,2.6,.417,0.7,2.0,.357,0.4,0.6,.625,.556,0.2,0.2,1.000,0.1,1.1,1.2,0.4,0.3,0.1,0.5,0.5,3.1
342,Elijah Hughes\hugheel01,SG,23,POR,13,2,12.1,1.2,4.3,.268,0.6,2.8,.216,0.5,1.5,.368,.339,0.1,0.2,.500,0.2,1.6,1.8,0.5,0.3,0.2,0.5,1.4,3.0
343,De'Andre Hunter\huntede01,SF,24,ATL,44,43,30.0,4.8,10.7,.449,1.5,3.8,.388,3.4,7.0,.482,.517,2.3,3.1,.756,0.5,2.7,3.2,1.3,0.7,0.4,1.3,3.0,13.4
344,Chandler Hutchison\hutchch01,SF,25,PHO,6,0,3.7,0.2,0.3,.500,0.0,0.0,,0.2,0.3,.500,.500,0.3,0.3,1.000,0.0,0.8,0.8,0.3,0.0,0.0,0.7,0.2,0.7
345,Bones Hyland\hylanbo01,PG,21,DEN,60,3,18.4,3.2,8.0,.396,1.9,5.0,.376,1.3,3.1,.429,.512,1.3,1.5,.859,0.2,2.6,2.8,2.4,0.6,0.2,1.2,2.1,9.6
346,Serge Ibaka\ibakase01,C-PF,32,TOT,50,11,16.4,2.7,5.6,.489,0.7,1.9,.366,2.0,3.7,.551,.550,0.6,0.9,.721,1.1,3.5,4.6,0.9,0.2,0.7,0.8,1.8,6.7
347,Serge Ibaka\ibakase01,C,32,LAC,35,10,15.4,2.7,5.5,.490,0.7,1.8,.387,2.0,3.7,.538,.552,0.6,0.8,.690,1.1,3.1,4.3,1.0,0.2,0.7,0.9,1.6,6.6
